Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
7.769,1.340,1.587,0.986,0.596,0.153,0.393
7.600,1.383,1.573,0.996,0.592,0.252,0.410
7.554,1.488,1.582,1.028,0.603,0.271,0.341
7.494,1.380,1.624,1.026,0.591,0.354,0.118
7.488,1.396,1.522,0.999,0.557,0.322,0.298
7.480,1.452,1.526,1.052,0.572,0.263,0.343
7.343,1.387,1.487,1.009,0.574,0.267,0.373
7.307,1.303,1.557,1.026,0.585,0.330,0.380
7.278,1.365,1.505,1.039,0.584,0.285,0.308
7.246,1.376,1.475,1.016,0.532,0.244,0.226
7.228,1.372,1.548,1.036,0.557,0.332,0.290
7.167,1.034,1.441,0.963,0.558,0.144,0.093
7.139,1.276,1.455,1.029,0.371,0.261,0.082
7.090,1.609,1.479,1.012,0.526,0.194,0.316
7.054,1.333,1.538,0.996,0.450,0.348,0.278
7.021,1.499,1.553,0.999,0.516,0.298,0.310
6.985,1.373,1.454,0.987,0.495,0.261,0.265
6.923,1.356,1.504,0.986,0.473,0.160,0.210
6.892,1.433,1.457,0.874,0.454,0.280,0.128
6.852,1.269,1.487,0.920,0.457,0.046,0.036
6.825,1.503,1.310,0.825,0.598,0.262,0.182
6.726,1.300,1.520,0.999,0.564,0.375,0.151
6.595,1.070,1.323,0.861,0.433,0.074,0.073
6.592,1.324,1.472,1.045,0.436,0.111,0.183
6.446,1.368,1.430,0.914,0.351,0.242,0.097
6.444,1.159,1.369,0.920,0.357,0.187,0.056
6.436,0.800,1.269,0.746,0.535,0.175,0.078
6.375,1.403,1.357,0.795,0.439,0.080,0.132
6.374,1.684,1.313,0.871,0.555,0.220,0.167
6.354,1.286,1.484,1.062,0.362,0.153,0.079
6.321,1.149,1.442,0.910,0.516,0.109,0.054
6.300,1.004,1.439,0.802,0.390,0.099,0.086
6.293,1.124,1.465,0.891,0.523,0.127,0.150
6.262,1.572,1.463,1.141,0.556,0.271,0.453
6.253,0.794,1.242,0.789,0.430,0.093,0.074
6.223,1.294,1.488,1.039,0.231,0.158,0.030
6.199,1.362,1.368,0.871,0.536,0.255,0.110
6.198,1.246,1.504,0.881,0.334,0.121,0.014
6.192,1.231,1.477,0.713,0.489,0.185,0.016
6.182,1.206,1.438,0.884,0.483,0.117,0.050
6.174,0.745,1.529,0.756,0.631,0.322,0.240
6.149,1.238,1.515,0.818,0.291,0.043,0.042
6.125,0.985,1.410,0.841,0.470,0.099,0.034
6.118,1.258,1.523,0.953,0.564,0.144,0.057
6.105,0.694,1.325,0.835,0.435,0.200,0.127
6.100,0.882,1.232,0.758,0.489,0.262,0.006
6.086,1.092,1.432,0.881,0.471,0.066,0.050
6.070,1.162,1.232,0.825,0.462,0.083,0.005
6.046,1.263,1.223,1.042,0.406,0.190,0.041
6.028,0.912,1.312,0.868,0.498,0.126,0.087
6.021,1.500,1.319,0.808,0.493,0.142,0.097
6.008,1.050,1.409,0.828,0.557,0.359,0.028
5.940,1.187,1.465,0.812,0.264,0.075,0.064
5.895,1.301,1.219,1.036,0.159,0.175,0.056
5.893,1.237,1.528,0.874,0.495,0.103,0.161
5.890,0.831,1.478,0.831,0.490,0.107,0.028
5.888,1.120,1.402,0.798,0.498,0.215,0.060
5.886,1.327,1.419,1.088,0.445,0.069,0.140
5.860,0.642,1.236,0.828,0.507,0.246,0.078
5.809,1.173,1.508,0.729,0.410,0.146,0.096
5.779,0.776,1.209,0.706,0.511,0.137,0.064
5.758,1.201,1.410,0.828,0.199,0.081,0.020
5.743,0.855,1.475,0.777,0.514,0.184,0.080
5.718,1.263,1.252,1.042,0.417,0.191,0.162
5.697,0.960,1.274,0.854,0.455,0.083,0.027
5.693,1.221,1.431,0.999,0.508,0.047,0.025
5.653,0.677,0.886,0.535,0.313,0.220,0.098
5.648,1.183,1.452,0.726,0.334,0.082,0.031
5.631,0.807,1.293,0.657,0.558,0.117,0.107
5.603,1.004,1.383,0.854,0.282,0.137,0.039
5.529,0.685,1.328,0.739,0.245,0.181,0.000
5.525,1.044,1.303,0.673,0.416,0.133,0.152
5.523,1.051,1.361,0.871,0.197,0.142,0.080
5.467,0.493,1.098,0.718,0.389,0.230,0.144
5.432,1.155,1.266,0.914,0.296,0.119,0.022
5.430,1.438,1.277,1.122,0.440,0.258,0.287
5.425,1.015,1.401,0.779,0.497,0.113,0.101
5.386,0.945,1.212,0.845,0.212,0.263,0.006
5.373,1.183,1.360,0.808,0.195,0.083,0.106
5.339,1.221,1.171,0.828,0.508,0.260,0.024
5.323,1.067,1.465,0.789,0.235,0.094,0.142
5.287,1.181,1.156,0.999,0.067,0.000,0.034
5.285,0.948,1.531,0.667,0.317,0.235,0.038
5.274,0.983,1.294,0.838,0.345,0.185,0.034
5.265,0.696,1.111,0.245,0.426,0.215,0.041
5.261,0.551,1.438,0.723,0.508,0.300,0.023
5.247,1.052,1.538,0.657,0.394,0.244,0.028
5.211,1.002,1.160,0.785,0.086,0.073,0.114
5.208,0.801,0.782,0.782,0.418,0.036,0.076
5.208,1.043,1.147,0.769,0.351,0.035,0.182
5.197,0.987,1.224,0.815,0.216,0.166,0.027
5.192,0.931,1.203,0.660,0.491,0.498,0.028
5.191,1.029,1.125,0.893,0.521,0.058,0.100
5.175,0.741,1.346,0.851,0.543,0.147,0.073
5.082,0.813,1.321,0.604,0.457,0.370,0.167
5.044,0.549,0.910,0.331,0.381,0.187,0.037
5.011,1.092,1.513,0.815,0.311,0.081,0.004
4.996,0.611,0.868,0.486,0.381,0.245,0.040
4.944,0.569,0.808,0.232,0.352,0.154,0.090
4.913,0.446,1.226,0.677,0.439,0.285,0.089
4.906,0.837,1.225,0.815,0.383,0.110,0.130
4.883,0.393,0.437,0.397,0.349,0.175,0.082
4.812,0.673,0.799,0.508,0.372,0.105,0.093
4.799,1.057,1.183,0.571,0.295,0.043,0.055
4.796,0.764,1.030,0.551,0.547,0.266,0.164
4.722,0.960,1.351,0.469,0.389,0.130,0.055
4.719,0.947,0.848,0.874,0.383,0.178,0.027
4.707,0.960,1.427,0.805,0.154,0.064,0.047
4.700,0.574,1.122,0.637,0.609,0.232,0.062
4.696,0.657,1.247,0.672,0.225,0.103,0.066
4.681,0.450,1.134,0.571,0.292,0.153,0.072
4.668,0.000,0.698,0.268,0.559,0.243,0.270
4.639,0.879,1.313,0.477,0.401,0.070,0.056
4.628,0.138,0.774,0.366,0.318,0.188,0.102
4.587,0.331,1.056,0.380,0.255,0.177,0.113
4.559,0.850,1.055,0.815,0.283,0.095,0.064
4.548,1.100,0.842,0.785,0.305,0.270,0.125
4.534,0.380,0.829,0.375,0.332,0.207,0.086
4.519,0.886,0.666,0.752,0.346,0.043,0.164
4.516,0.308,0.939,0.428,0.382,0.269,0.167
4.509,0.512,0.983,0.581,0.431,0.372,0.053
4.490,0.570,1.167,0.489,0.066,0.106,0.088
4.466,0.204,0.986,0.390,0.494,0.197,0.138
4.461,0.921,1.000,0.815,0.167,0.059,0.055
4.456,0.562,0.928,0.723,0.527,0.166,0.143
4.437,1.043,0.980,0.574,0.241,0.148,0.089
4.418,0.094,1.125,0.357,0.269,0.212,0.053
4.390,0.385,1.105,0.308,0.327,0.153,0.052
4.374,0.268,0.841,0.242,0.309,0.252,0.045
4.366,0.949,1.265,0.831,0.470,0.244,0.047
4.360,0.710,1.181,0.555,0.525,0.566,0.172
4.350,0.350,0.766,0.192,0.174,0.198,0.078
4.332,0.820,1.390,0.739,0.178,0.187,0.010
4.286,0.336,1.033,0.532,0.344,0.209,0.100
4.212,0.811,1.149,0.000,0.313,0.074,0.135
4.189,0.332,1.069,0.443,0.356,0.252,0.060
4.166,0.913,1.039,0.644,0.241,0.076,0.067
4.107,0.578,1.058,0.426,0.431,0.247,0.087
4.085,0.275,0.572,0.410,0.293,0.177,0.085
4.015,0.755,0.765,0.588,0.498,0.200,0.085
3.975,0.073,0.922,0.443,0.370,0.233,0.033
3.973,0.274,0.757,0.505,0.142,0.275,0.078
3.933,0.274,0.916,0.555,0.148,0.169,0.041
3.802,0.489,1.169,0.168,0.359,0.107,0.093
3.775,0.046,0.447,0.380,0.220,0.176,0.180
3.663,0.366,1.114,0.433,0.361,0.151,0.089
3.597,0.323,0.688,0.449,0.026,0.419,0.110
3.488,1.041,1.145,0.538,0.455,0.025,0.100
3.462,0.619,0.378,0.440,0.013,0.331,0.141
3.410,0.191,0.560,0.495,0.443,0.218,0.089
3.380,0.287,1.163,0.463,0.143,0.108,0.077
3.334,0.359,0.711,0.614,0.555,0.217,0.411
3.231,0.476,0.885,0.499,0.417,0.276,0.147
3.203,0.350,0.517,0.361,0.000,0.158,0.025
3.083,0.026,0.000,0.105,0.225,0.235,0.035
2.853,0.306,0.575,0.295,0.010,0.202,0.091
7.632,1.305,1.592,0.874,0.681,0.202,0.393
7.594,1.456,1.582,0.861,0.686,0.286,0.340
7.555,1.351,1.590,0.868,0.683,0.284,0.408
7.495,1.343,1.644,0.914,0.677,0.353,0.138
7.487,1.420,1.549,0.927,0.660,0.256,0.357
7.441,1.361,1.488,0.878,0.638,0.333,0.295
7.328,1.330,1.532,0.896,0.653,0.321,0.291
7.324,1.268,1.601,0.876,0.669,0.365,0.389
7.314,1.355,1.501,0.913,0.659,0.285,0.383
7.272,1.340,1.573,0.910,0.647,0.361,0.302
7.190,1.244,1.433,0.888,0.464,0.262,0.082
7.139,1.341,1.504,0.891,0.617,0.242,0.224
7.072,1.010,1.459,0.817,0.632,0.143,0.101
6.977,1.448,1.583,0.876,0.614,0.307,0.306
6.965,1.340,1.474,0.861,0.586,0.273,0.280
6.927,1.324,1.483,0.894,0.583,0.188,0.240
6.910,1.576,1.520,0.896,0.632,0.196,0.321
6.886,1.398,1.471,0.819,0.547,0.291,0.133
6.814,1.301,1.559,0.883,0.533,0.354,0.272
6.774,2.096,0.776,0.670,0.284,0.186,0.234
6.711,1.233,1.489,0.854,0.543,0.064,0.034
6.627,1.270,1.525,0.884,0.645,0.376,0.142
6.489,1.293,1.466,0.908,0.520,0.098,0.176
6.488,1.038,1.252,0.761,0.479,0.069,0.095
6.476,1.131,1.331,0.808,0.431,0.197,0.061
6.441,1.365,1.436,0.857,0.418,0.151,0.078
6.430,1.112,1.438,0.759,0.597,0.125,0.063
6.419,0.986,1.474,0.675,0.493,0.110,0.088
6.388,1.073,1.468,0.744,0.570,0.062,0.054
6.382,0.781,1.268,0.608,0.604,0.179,0.071
6.379,1.093,1.459,0.771,0.625,0.130,0.155
6.374,1.649,1.303,0.748,0.654,0.256,0.171
6.371,1.379,1.331,0.633,0.509,0.098,0.127
6.343,1.529,1.451,1.008,0.631,0.261,0.457
6.322,1.161,1.258,0.669,0.356,0.311,0.059
6.310,1.251,1.538,0.965,0.449,0.142,0.074
6.260,0.960,1.439,0.635,0.531,0.099,0.039
6.192,1.223,1.492,0.564,0.575,0.171,0.019
6.173,1.210,1.537,0.776,0.354,0.118,0.014
6.167,0.806,1.231,0.639,0.461,0.065,0.082
6.141,0.668,1.319,0.700,0.527,0.208,0.128
6.123,1.176,1.448,0.781,0.546,0.108,0.064
6.105,1.338,1.366,0.698,0.594,0.243,0.123
6.096,0.719,1.584,0.605,0.724,0.328,0.259
6.083,1.474,1.301,0.675,0.554,0.167,0.106
6.072,1.016,1.417,0.707,0.637,0.364,0.029
6.000,1.264,1.501,0.946,0.281,0.137,0.028
5.973,0.889,1.330,0.736,0.556,0.114,0.120
5.956,0.807,1.101,0.474,0.593,0.183,0.089
5.952,1.197,1.527,0.716,0.350,0.026,0.006
5.948,1.219,1.506,0.856,0.633,0.160,0.051
5.945,1.116,1.219,0.726,0.528,0.088,0.001
5.933,1.148,1.454,0.671,0.363,0.092,0.066
5.915,1.294,1.462,0.988,0.553,0.079,0.150
5.891,1.090,1.387,0.684,0.584,0.245,0.050
5.890,0.819,1.493,0.693,0.575,0.096,0.031
5.875,1.266,1.204,0.955,0.244,0.175,0.051
5.835,1.229,1.211,0.909,0.495,0.179,0.154
5.810,1.151,1.479,0.599,0.399,0.065,0.025
5.790,1.143,1.516,0.631,0.454,0.148,0.121
5.762,1.229,1.191,0.909,0.423,0.202,0.035
5.752,0.751,1.223,0.508,0.606,0.141,0.054
5.739,1.200,1.532,0.737,0.553,0.086,0.174
5.681,0.835,1.522,0.615,0.541,0.162,0.074
5.663,0.934,1.249,0.674,0.530,0.092,0.034
5.662,0.855,1.230,0.578,0.448,0.274,0.023
5.640,0.657,1.301,0.620,0.232,0.171,0.000
5.636,1.016,1.533,0.517,0.417,0.199,0.037
5.620,1.171,1.401,0.732,0.259,0.061,0.022
5.566,0.985,1.350,0.553,0.496,0.116,0.148
5.524,0.775,1.312,0.513,0.643,0.120,0.105
5.504,0.620,1.205,0.622,0.459,0.197,0.074
5.483,1.039,1.498,0.700,0.307,0.101,0.154
5.483,1.148,1.380,0.686,0.324,0.106,0.109
5.472,0.652,0.810,0.424,0.334,0.216,0.113
5.430,1.405,1.290,1.030,0.524,0.246,0.291
5.410,1.188,1.429,0.884,0.562,0.055,0.017
5.398,0.975,1.369,0.685,0.288,0.134,0.043
5.358,1.154,1.202,0.879,0.131,0.000,0.044
5.358,0.965,1.179,0.785,0.503,0.214,0.136
5.347,1.017,1.279,0.729,0.259,0.111,0.081
5.321,1.115,1.161,0.737,0.380,0.120,0.039
5.302,0.982,1.441,0.614,0.578,0.120,0.106
5.295,0.979,1.154,0.687,0.077,0.055,0.135
5.254,0.779,0.797,0.669,0.460,0.026,0.074
5.246,0.989,1.142,0.799,0.597,0.029,0.103
5.201,1.024,1.161,0.603,0.430,0.031,0.176
5.199,0.474,1.166,0.598,0.292,0.187,0.034
5.185,0.959,1.239,0.691,0.394,0.173,0.052
5.161,0.822,1.265,0.645,0.468,0.130,0.134
5.155,0.689,1.172,0.048,0.462,0.201,0.032
5.131,0.530,1.416,0.594,0.540,0.281,0.035
5.129,0.915,1.078,0.758,0.280,0.216,0.000
5.125,0.914,1.517,0.575,0.395,0.253,0.032
5.103,0.715,1.365,0.702,0.618,0.177,0.079
5.093,0.899,1.215,0.522,0.538,0.484,0.018
5.082,0.796,1.335,0.527,0.541,0.364,0.171
4.982,0.000,0.712,0.115,0.674,0.238,0.282
4.975,0.535,0.891,0.182,0.454,0.183,0.043
4.933,1.054,1.515,0.712,0.359,0.064,0.009
4.880,0.425,1.228,0.539,0.526,0.302,0.078
4.806,0.996,1.469,0.657,0.133,0.056,0.052
4.758,1.036,1.164,0.404,0.356,0.032,0.052
4.743,0.642,1.217,0.602,0.266,0.086,0.076
4.724,0.940,1.410,0.330,0.516,0.103,0.056
4.707,1.059,0.771,0.691,0.459,0.282,0.129
4.671,0.541,0.872,0.080,0.467,0.146,0.103
4.657,0.592,0.896,0.337,0.499,0.212,0.029
4.631,0.429,1.117,0.433,0.406,0.138,0.082
4.623,0.720,1.034,0.441,0.626,0.230,0.174
4.592,0.900,0.906,0.690,0.271,0.040,0.063
4.586,0.916,0.817,0.790,0.419,0.149,0.032
4.571,0.256,0.813,0.000,0.355,0.238,0.053
4.559,0.682,0.811,0.343,0.514,0.091,0.077
4.500,0.532,0.850,0.579,0.580,0.153,0.144
4.471,0.918,1.314,0.672,0.585,0.307,0.050
4.456,1.010,0.971,0.536,0.304,0.148,0.095
4.447,0.370,1.233,0.152,0.367,0.139,0.056
4.441,0.874,1.281,0.365,0.519,0.051,0.064
4.433,0.549,1.088,0.457,0.696,0.256,0.065
4.424,0.314,1.097,0.254,0.312,0.175,0.128
4.419,0.885,1.025,0.553,0.312,0.092,0.107
4.417,0.198,0.902,0.173,0.531,0.206,0.158
4.410,0.493,1.048,0.454,0.504,0.352,0.055
4.377,0.562,1.047,0.295,0.503,0.221,0.082
4.356,0.557,1.245,0.292,0.129,0.134,0.093
4.350,0.308,0.950,0.391,0.452,0.220,0.146
4.340,0.853,0.592,0.643,0.375,0.038,0.215
4.321,0.816,0.990,0.666,0.260,0.077,0.028
4.308,0.682,1.174,0.429,0.580,0.598,0.178
4.301,0.358,0.907,0.053,0.189,0.181,0.060
4.245,0.069,1.136,0.204,0.312,0.197,0.052
4.190,0.721,0.747,0.485,0.539,0.172,0.093
4.166,0.131,0.867,0.221,0.390,0.175,0.099
4.161,0.322,1.090,0.237,0.450,0.259,0.061
4.141,0.378,0.372,0.240,0.440,0.163,0.067
4.139,0.605,1.240,0.312,0.016,0.134,0.082
4.103,0.793,1.413,0.609,0.163,0.187,0.011
3.999,0.259,0.474,0.253,0.434,0.158,0.101
3.964,0.344,0.792,0.211,0.394,0.185,0.094
3.808,0.472,1.215,0.079,0.423,0.116,0.112
3.795,0.730,1.125,0.269,0.000,0.079,0.061
3.774,0.262,0.908,0.402,0.221,0.155,0.049
3.692,0.357,1.094,0.248,0.406,0.132,0.099
3.632,0.332,0.537,0.255,0.085,0.191,0.036
3.590,1.017,1.174,0.417,0.557,0.042,0.092
3.587,0.186,0.541,0.306,0.531,0.210,0.080
3.582,0.315,0.714,0.289,0.025,0.392,0.104
3.495,0.076,0.858,0.267,0.419,0.206,0.030
3.462,0.689,0.382,0.539,0.088,0.376,0.144
3.408,0.332,0.896,0.400,0.636,0.200,0.444
3.355,0.442,1.073,0.343,0.244,0.083,0.064
3.303,0.455,0.991,0.381,0.481,0.270,0.097
3.254,0.337,0.608,0.177,0.112,0.224,0.106
3.083,0.024,0.000,0.010,0.305,0.218,0.038
2.905,0.091,0.627,0.145,0.065,0.149,0.076
